"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2023,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Nou. Euros/m2 construït","4905.1"
2023,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Nou. Euros/m2 construït","5800.5"
2023,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Nou. Euros/m2 construït","6900.4"
2023,1,6,"Gràcia",28,"Vallcarca i els Penitents","Nou. Euros/m2 construït","4461.5"
2023,1,6,"Gràcia",29,"el Coll","Nou. Euros/m2 construït","2981.5"
2023,1,6,"Gràcia",30,"la Salut","Nou. Euros/m2 construït","--"
2023,1,6,"Gràcia",31,"la Vila de Gràcia","Nou. Euros/m2 construït","7714.4"
2023,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Nou. Euros/m2 construït","--"
2023,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Nou. Euros/m2 construït","3885.6"
2023,1,7,"Horta-Guinardó",34,"Can Baró","Nou. Euros/m2 construït","--"
2023,1,7,"Horta-Guinardó",35,"el Guinardó","Nou. Euros/m2 construït","--"
2023,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Nou. Euros/m2 construït","--"
2023,1,7,"Horta-Guinardó",37,"el Carmel","Nou. Euros/m2 construït","2870.1"
2023,1,7,"Horta-Guinardó",38,"la Teixonera","Nou. Euros/m2 construït","2307.4"
2023,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Nou. Euros/m2 construït","2293.7"
2023,1,7,"Horta-Guinardó",40,"Montbau","Nou. Euros/m2 construït","--"
2023,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Nou. Euros/m2 construït","--"
2023,1,7,"Horta-Guinardó",42,"la Clota","Nou. Euros/m2 construït","--"
2023,1,7,"Horta-Guinardó",43,"Horta","Nou. Euros/m2 construït","3489.9"
2023,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Nou. Euros/m2 construït","--"
2023,1,8,"Nou Barris",45,"Porta","Nou. Euros/m2 construït","2627.1"
2023,1,8,"Nou Barris",46,"el Turó de la Peira","Nou. Euros/m2 construït","--"
2023,1,8,"Nou Barris",47,"Can Peguera","Nou. Euros/m2 construït","--"
2023,1,8,"Nou Barris",48,"la Guineueta","Nou. Euros/m2 construït","--"
2023,1,8,"Nou Barris",49,"Canyelles","Nou. Euros/m2 construït","--"
2023,1,8,"Nou Barris",50,"les Roquetes","Nou. Euros/m2 construït","--"
2023,1,8,"Nou Barris",51,"Verdun","Nou. Euros/m2 construït","--"
2023,1,8,"Nou Barris",52,"la Prosperitat","Nou. Euros/m2 construït","1641.6"
2023,1,8,"Nou Barris",53,"la Trinitat Nova","Nou. Euros/m2 construït","--"
2023,1,8,"Nou Barris",54,"Torre Baró","Nou. Euros/m2 construït","--"
2023,1,8,"Nou Barris",55,"Ciutat Meridiana","Nou. Euros/m2 construït","--"
2023,1,8,"Nou Barris",56,"Vallbona","Nou. Euros/m2 construït","--"
2023,1,9,"Sant Andreu",57,"la Trinitat Vella","Nou. Euros/m2 construït","--"
2023,1,9,"Sant Andreu",58,"Baró de Viver","Nou. Euros/m2 construït","--"
2023,1,9,"Sant Andreu",59,"el Bon Pastor","Nou. Euros/m2 construït","--"
2023,1,9,"Sant Andreu",60,"Sant Andreu","Nou. Euros/m2 construït","4399.7"
2023,1,9,"Sant Andreu",61,"la Sagrera","Nou. Euros/m2 construït","--"
2023,1,9,"Sant Andreu",62,"el Congrés i els Indians","Nou. Euros/m2 construït","--"
2023,1,9,"Sant Andreu",63,"Navas","Nou. Euros/m2 construït","--"
2023,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Nou. Euros/m2 construït","--"
2023,1,10,"Sant Martí",65,"el Clot","Nou. Euros/m2 construït","5361.1"
2023,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Nou. Euros/m2 construït","5962.6"
2023,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Nou. Euros/m2 construït","--"
2023,1,10,"Sant Martí",68,"el Poblenou","Nou. Euros/m2 construït","6283.2"
2023,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Nou. Euros/m2 construït","4059.8"
2023,1,10,"Sant Martí",70,"el Besòs i el Maresme","Nou. Euros/m2 construït","4155.8"
2023,1,10,"Sant Martí",71,"Provençals del Poblenou","Nou. Euros/m2 construït","3573.3"
2023,1,10,"Sant Martí",72,"Sant Martí de Provençals","Nou. Euros/m2 construït","--"
2023,1,10,"Sant Martí",73,"la Verneda i la Pau","Nou. Euros/m2 construït","--"
2023,1,1,"Ciutat Vella",1,"el Raval","Usat. Euros/m2 construït","3163.6"
2023,1,1,"Ciutat Vella",2,"el Barri Gòtic","Usat. Euros/m2 construït","4543.6"
2023,1,1,"Ciutat Vella",3,"la Barceloneta","Usat. Euros/m2 construït","5514.2"
2023,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Usat. Euros/m2 construït","4732.3"
2023,1,2,"Eixample",5,"el Fort Pienc","Usat. Euros/m2 construït","4535.8"
2023,1,2,"Eixample",6,"la Sagrada Família","Usat. Euros/m2 construït","4641.4"
2023,1,2,"Eixample",7,"la Dreta de l'Eixample","Usat. Euros/m2 construït","5706.5"
2023,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Usat. Euros/m2 construït","5059.6"
2023,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Usat. Euros/m2 construït","4467.0"
2023,1,2,"Eixample",10,"Sant Antoni","Usat. Euros/m2 construït","4147.2"
2023,1,3,"Sants-Montjuïc",11,"el Poble Sec","Usat. Euros/m2 construït","3666.9"
2023,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Usat. Euros/m2 construït","2171.7"
2023,1,3,"Sants-Montjuïc",13,"la Marina de Port","Usat. Euros/m2 construït","2937.8"
2023,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Usat. Euros/m2 construït","3931.4"
2023,1,3,"Sants-Montjuïc",15,"Hostafrancs","Usat. Euros/m2 construït","3773.8"
2023,1,3,"Sants-Montjuïc",16,"la Bordeta","Usat. Euros/m2 construït","3262.2"
2023,1,3,"Sants-Montjuïc",17,"Sants - Badal","Usat. Euros/m2 construït","3205.4"
2023,1,3,"Sants-Montjuïc",18,"Sants","Usat. Euros/m2 construït","4068.4"
2023,1,4,"Les Corts",19,"les Corts","Usat. Euros/m2 construït","4946.8"
2023,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Usat. Euros/m2 construït","4777.7"
2023,1,4,"Les Corts",21,"Pedralbes","Usat. Euros/m2 construït","5626.5"
2023,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Usat. Euros/m2 construït","3676.9"
2023,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Usat. Euros/m2 construït","6336.5"
2023,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Usat. Euros/m2 construït","6261.8"
2023,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Usat. Euros/m2 construït","5483.9"
2023,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Usat. Euros/m2 construït","5840.3"
2023,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Usat. Euros/m2 construït","4480.9"
2023,1,6,"Gràcia",28,"Vallcarca i els Penitents","Usat. Euros/m2 construït","4187.6"
2023,1,6,"Gràcia",29,"el Coll","Usat. Euros/m2 construït","3065.4"
2023,1,6,"Gràcia",30,"la Salut","Usat. Euros/m2 construït","4313.2"
2023,1,6,"Gràcia",31,"la Vila de Gràcia","Usat. Euros/m2 construït","4941.6"
2023,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Usat. Euros/m2 construït","4560.7"
2023,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Usat. Euros/m2 construït","3941.7"
2023,1,7,"Horta-Guinardó",34,"Can Baró","Usat. Euros/m2 construït","3112.0"
2023,1,7,"Horta-Guinardó",35,"el Guinardó","Usat. Euros/m2 construït","3499.3"
2023,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Usat. Euros/m2 construït","3621.1"
2023,1,7,"Horta-Guinardó",37,"el Carmel","Usat. Euros/m2 construït","2841.8"
2023,1,7,"Horta-Guinardó",38,"la Teixonera","Usat. Euros/m2 construït","2814.3"
2023,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Usat. Euros/m2 construït","2668.5"
2023,1,7,"Horta-Guinardó",40,"Montbau","Usat. Euros/m2 construït","3393.1"
2023,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Usat. Euros/m2 construït","4405.6"
2023,1,7,"Horta-Guinardó",42,"la Clota","Usat. Euros/m2 construït","--"
2023,1,7,"Horta-Guinardó",43,"Horta","Usat. Euros/m2 construït","2816.8"
2023,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Usat. Euros/m2 construït","3212.9"
2023,1,8,"Nou Barris",45,"Porta","Usat. Euros/m2 construït","2720.1"
2023,1,8,"Nou Barris",46,"el Turó de la Peira","Usat. Euros/m2 construït","2545.5"
2023,1,8,"Nou Barris",47,"Can Peguera","Usat. Euros/m2 construït","--"
2023,1,8,"Nou Barris",48,"la Guineueta","Usat. Euros/m2 construït","2650.9"
2023,1,8,"Nou Barris",49,"Canyelles","Usat. Euros/m2 construït","2682.2"
2023,1,8,"Nou Barris",50,"les Roquetes","Usat. Euros/m2 construït","2099.1"
2023,1,8,"Nou Barris",51,"Verdun","Usat. Euros/m2 construït","2742.7"
2023,1,8,"Nou Barris",52,"la Prosperitat","Usat. Euros/m2 construït","2809.6"
2023,1,8,"Nou Barris",53,"la Trinitat Nova","Usat. Euros/m2 construït","1821.5"
2023,1,8,"Nou Barris",54,"Torre Baró","Usat. Euros/m2 construït","1585.7"
2023,1,8,"Nou Barris",55,"Ciutat Meridiana","Usat. Euros/m2 construït","1600.9"
2023,1,8,"Nou Barris",56,"Vallbona","Usat. Euros/m2 construït","--"
2023,1,9,"Sant Andreu",57,"la Trinitat Vella","Usat. Euros/m2 construït","2031.5"
2023,1,9,"Sant Andreu",58,"Baró de Viver","Usat. Euros/m2 construït","--"
2023,1,9,"Sant Andreu",59,"el Bon Pastor","Usat. Euros/m2 construït","2102.3"
2023,1,9,"Sant Andreu",60,"Sant Andreu","Usat. Euros/m2 construït","3263.9"
2023,1,9,"Sant Andreu",61,"la Sagrera","Usat. Euros/m2 construït","3342.3"
2023,1,9,"Sant Andreu",62,"el Congrés i els Indians","Usat. Euros/m2 construït","3264.4"
2023,1,9,"Sant Andreu",63,"Navas","Usat. Euros/m2 construït","3265.6"
2023,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Usat. Euros/m2 construït","4011.8"
2023,1,10,"Sant Martí",65,"el Clot","Usat. Euros/m2 construït","3668.1"
2023,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Usat. Euros/m2 construït","5132.8"
2023,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Usat. Euros/m2 construït","5052.8"
2023,1,10,"Sant Martí",68,"el Poblenou","Usat. Euros/m2 construït","4720.9"
2023,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Usat. Euros/m2 construït","5591.9"
2023,1,10,"Sant Martí",70,"el Besòs i el Maresme","Usat. Euros/m2 construït","2338.7"
2023,1,10,"Sant Martí",71,"Provençals del Poblenou","Usat. Euros/m2 construït","3506.3"
2023,1,10,"Sant Martí",72,"Sant Martí de Provençals","Usat. Euros/m2 construït","3227.7"
2023,1,10,"Sant Martí",73,"la Verneda i la Pau","Usat. Euros/m2 construït","2405.9"
2023,2,1,"Ciutat Vella",1,"el Raval","Total. Milers d'euros","203.0"
2023,2,1,"Ciutat Vella",2,"el Barri Gòtic","Total. Milers d'euros","347.1"
2023,2,1,"Ciutat Vella",3,"la Barceloneta","Total. Milers d'euros","228.3"
2023,2,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Total. Milers d'euros","316.0"
2023,2,2,"Eixample",5,"el Fort Pienc","Total. Milers d'euros","358.1"
2023,2,2,"Eixample",6,"la Sagrada Família","Total. Milers d'euros","320.5"
2023,2,2,"Eixample",7,"la Dreta de l'Eixample","Total. Milers d'euros","712.3"
