Any,Trimestre,Mes,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Compraventa_Unitario,ParadosReg,Estudios_Obligatorios,ConsumResidencial,Pm25,Pm10,Participacion,AñosEspVida,Internet,Movil,Index_Turisme,m² por habitante
2014,1,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,4065.5,2387,,,,,56.3,84.2,,,,1.9
2014,1,2,2,Eixample,8,l'Antiga Esquerra de l'Eixample,4065.5,2329,,,,,56.3,84.2,,,,1.9
2014,1,3,2,Eixample,8,l'Antiga Esquerra de l'Eixample,4065.5,2295,,,,,56.3,84.2,,,,1.9
2014,2,4,2,Eixample,8,l'Antiga Esquerra de l'Eixample,3832.5,2267,,,,,56.3,84.2,,,,1.9
2014,2,5,2,Eixample,8,l'Antiga Esquerra de l'Eixample,3832.5,2163,,,,,56.3,84.2,,,,1.9
2014,2,6,2,Eixample,8,l'Antiga Esquerra de l'Eixample,3832.5,2088,,,,,56.3,84.2,,,,1.9
2014,3,7,2,Eixample,8,l'Antiga Esquerra de l'Eixample,4002.8,2143,,,,,56.3,84.2,,,,1.9
2014,3,8,2,Eixample,8,l'Antiga Esquerra de l'Eixample,4002.8,2145,,,,,56.3,84.2,,,,1.9
2014,3,9,2,Eixample,8,l'Antiga Esquerra de l'Eixample,4002.8,2118,,,,,56.3,84.2,,,,1.9
2014,4,10,2,Eixample,8,l'Antiga Esquerra de l'Eixample,3756.0,2076,,,,,56.3,84.2,,,,1.9
2014,4,11,2,Eixample,8,l'Antiga Esquerra de l'Eixample,3756.0,2071,,,,,56.3,84.2,,,,1.9
2014,4,12,2,Eixample,8,l'Antiga Esquerra de l'Eixample,3756.0,2017,,,,,56.3,84.2,,,,1.9
2014,1,1,2,Eixample,9,la Nova Esquerra de l'Eixample,3260.2,3342,,,,,56.3,85.2,,,,1.9
2014,1,2,2,Eixample,9,la Nova Esquerra de l'Eixample,3260.2,3295,,,,,56.3,85.2,,,,1.9
2014,1,3,2,Eixample,9,la Nova Esquerra de l'Eixample,3260.2,3242,,,,,56.3,85.2,,,,1.9
2014,2,4,2,Eixample,9,la Nova Esquerra de l'Eixample,3083.4,3215,,,,,56.3,85.2,,,,1.9
2014,2,5,2,Eixample,9,la Nova Esquerra de l'Eixample,3083.4,3104,,,,,56.3,85.2,,,,1.9
2014,2,6,2,Eixample,9,la Nova Esquerra de l'Eixample,3083.4,3028,,,,,56.3,85.2,,,,1.9
2014,3,7,2,Eixample,9,la Nova Esquerra de l'Eixample,3216.8,3114,,,,,56.3,85.2,,,,1.9
2014,3,8,2,Eixample,9,la Nova Esquerra de l'Eixample,3216.8,3084,,,,,56.3,85.2,,,,1.9
2014,3,9,2,Eixample,9,la Nova Esquerra de l'Eixample,3216.8,3051,,,,,56.3,85.2,,,,1.9
2014,4,10,2,Eixample,9,la Nova Esquerra de l'Eixample,3632.8,3028,,,,,56.3,85.2,,,,1.9
2014,4,11,2,Eixample,9,la Nova Esquerra de l'Eixample,3632.8,3014,,,,,56.3,85.2,,,,1.9
2014,4,12,2,Eixample,9,la Nova Esquerra de l'Eixample,3632.8,2970,,,,,56.3,85.2,,,,1.9
2014,1,1,2,Eixample,10,Sant Antoni,2798.8,2451,,,,,56.3,84.0,,,,1.9
2014,1,2,2,Eixample,10,Sant Antoni,2798.8,2407,,,,,56.3,84.0,,,,1.9
2014,1,3,2,Eixample,10,Sant Antoni,2798.8,2366,,,,,56.3,84.0,,,,1.9
2014,2,4,2,Eixample,10,Sant Antoni,2781.9,2346,,,,,56.3,84.0,,,,1.9
2014,2,5,2,Eixample,10,Sant Antoni,2781.9,2249,,,,,56.3,84.0,,,,1.9
2014,2,6,2,Eixample,10,Sant Antoni,2781.9,2199,,,,,56.3,84.0,,,,1.9
2014,3,7,2,Eixample,10,Sant Antoni,3597.9,2259,,,,,56.3,84.0,,,,1.9
2014,3,8,2,Eixample,10,Sant Antoni,3597.9,2251,,,,,56.3,84.0,,,,1.9
2014,3,9,2,Eixample,10,Sant Antoni,3597.9,2196,,,,,56.3,84.0,,,,1.9
2014,4,10,2,Eixample,10,Sant Antoni,2822.9,2176,,,,,56.3,84.0,,,,1.9
2014,4,11,2,Eixample,10,Sant Antoni,2822.9,2169,,,,,56.3,84.0,,,,1.9
2014,4,12,2,Eixample,10,Sant Antoni,2822.9,2119,,,,,56.3,84.0,,,,1.9
2014,1,1,3,Sants-Montjuïc,11,el Poble Sec,2606.5,3509,,,,,49.6,82.8,,,,17.6
2014,1,2,3,Sants-Montjuïc,11,el Poble Sec,2606.5,3399,,,,,49.6,82.8,,,,17.6
2014,1,3,3,Sants-Montjuïc,11,el Poble Sec,2606.5,3381,,,,,49.6,82.8,,,,17.6
2014,2,4,3,Sants-Montjuïc,11,el Poble Sec,2676.3,3340,,,,,49.6,82.8,,,,17.6
2014,2,5,3,Sants-Montjuïc,11,el Poble Sec,2676.3,3206,,,,,49.6,82.8,,,,17.6
2014,2,6,3,Sants-Montjuïc,11,el Poble Sec,2676.3,3129,,,,,49.6,82.8,,,,17.6
2014,3,7,3,Sants-Montjuïc,11,el Poble Sec,2416.1,3192,,,,,49.6,82.8,,,,17.6
2014,3,8,3,Sants-Montjuïc,11,el Poble Sec,2416.1,3160,,,,,49.6,82.8,,,,17.6
2014,3,9,3,Sants-Montjuïc,11,el Poble Sec,2416.1,3106,,,,,49.6,82.8,,,,17.6
2014,4,10,3,Sants-Montjuïc,11,el Poble Sec,2310.5,3153,,,,,49.6,82.8,,,,17.6
2014,4,11,3,Sants-Montjuïc,11,el Poble Sec,2310.5,3157,,,,,49.6,82.8,,,,17.6
2014,4,12,3,Sants-Montjuïc,11,el Poble Sec,2310.5,3139,,,,,49.6,82.8,,,,17.6
2014,1,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell,2606.5,149,,,,,49.6,,,,,17.6
2014,1,2,3,Sants-Montjuïc,12,la Marina del Prat Vermell,2606.5,151,,,,,49.6,,,,,17.6
2014,1,3,3,Sants-Montjuïc,12,la Marina del Prat Vermell,2606.5,155,,,,,49.6,,,,,17.6
